Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium
2023,Los Angeles Angels,AL West,42,36,2,,1181985.0,32833.0,5th of 15,"$224,228,095",103,103,Angel Stadium of Anaheim
2022,Los Angeles Angels,AL West,73,89,3,,2457461.0,30339.0,5th of 15,"$177,063,095",103,103,Angel Stadium of Anaheim
2021,Los Angeles Angels,AL West,77,85,4,,1515689.0,18484.0,6th of 15,"$188,408,595",103,103,Angel Stadium of Anaheim
2020,Los Angeles Angels,AL West,26,34,4,,,,8th of 15,"$181,254,762",102,101,Angel Stadium of Anaheim
2019,Los Angeles Angels,AL West,72,90,4,,3023012.0,37321.0,2nd of 15,"$158,078,584",100,100,Angel Stadium of Anaheim
2018,Los Angeles Angels,AL West,80,82,4,,3020216.0,37287.0,2nd of 15,"$166,849,666",98,98,Angel Stadium of Anaheim
2017,Los Angeles Angels,AL West,80,82,2,,3019585.0,37279.0,3rd of 15,"$181,125,500",97,97,Angel Stadium of Anaheim
2016,Los Angeles Angels,AL West,74,88,4,,3016142.0,37236.0,3rd of 15,"$139,712,000",95,95,Angel Stadium of Anaheim
2015,Los Angeles Angels of Anaheim,AL West,85,77,3,,3012765.0,37195.0,2nd of 15,"$131,522,500",94,94,Angel Stadium of Anaheim
2014,Los Angeles Angels of Anaheim,AL West,98,64,1,Lost ALDS (3-0),3095935.0,38221.0,2nd of 15,"$128,667,000",94,95,Angel Stadium of Anaheim
2013,Los Angeles Angels of Anaheim,AL West,78,84,3,,3019505.0,37278.0,4th of 15,"$116,532,500",94,94,Angel Stadium of Anaheim
2012,Los Angeles Angels of Anaheim,AL West,89,73,3,,3061770.0,37800.0,3rd of 14,"$141,073,500",93,94,Angel Stadium of Anaheim
2011,Los Angeles Angels of Anaheim,AL West,86,76,2,,3166321.0,39090.0,3rd of 14,"$138,543,166",92,92,Angel Stadium of Anaheim
2010,Los Angeles Angels of Anaheim,AL West,80,82,3,,3250814.0,40134.0,2nd of 14,"$104,963,866",96,96,Angel Stadium of Anaheim
2009,Los Angeles Angels of Anaheim,AL West,97,65,1,Lost ALCS (4-2),3240386.0,40005.0,2nd of 14,"$118,169,000",98,99,Angel Stadium of Anaheim
2008,Los Angeles Angels of Anaheim,AL West,100,62,1,Lost ALDS (3-1),3336747.0,41194.0,2nd of 14,"$119,216,333",102,102,Angel Stadium of Anaheim
2007,Los Angeles Angels of Anaheim,AL West,94,68,1,Lost ALDS (3-0),3365632.0,41551.0,2nd of 14,"$109,251,333",100,101,Angel Stadium of Anaheim
2006,Los Angeles Angels of Anaheim,AL West,89,73,2,,3406790.0,42059.0,2nd of 14,"$103,472,000",99,100,Angel Stadium of Anaheim
2005,Los Angeles Angels of Anaheim,AL West,95,67,1,Lost ALCS (4-1),3404686.0,42033.0,2nd of 14,"$94,867,822",97,98,Angel Stadium of Anaheim
2004,Anaheim Angels,AL West,92,70,1,Lost ALDS (3-0),3375677.0,41675.0,2nd of 14,"$100,534,667",96,97,Angel Stadium of Anaheim
2003,Anaheim Angels,AL West,77,85,3,,3061094.0,37330.0,3rd of 14,"$79,031,667",97,98,Edison Field
2002,Anaheim Angels,AL West,99,63,2,Won WS (4-3),2305547.0,28464.0,7th of 14,"$61,721,667",99,100,Edison Field
2001,Anaheim Angels,AL West,75,87,3,,2000919.0,24703.0,8th of 14,"$47,735,167",100,101,Edison Field
2000,Anaheim Angels,AL West,82,80,3,,2066982.0,25518.0,8th of 14,"$52,664,167",102,102,Edison Field
1999,Anaheim Angels,AL West,70,92,4,,2253123.0,27816.0,7th of 14,"$55,633,166",99,99,Edison Field
1998,Anaheim Angels,AL West,85,77,2,,2519280.0,31102.0,6th of 14,"$41,791,000",102,102,Edison Field
1997,Anaheim Angels,AL West,84,78,2,,1767330.0,21553.0,9th of 14,"$31,135,472",102,102,Anaheim Stadium
1996,California Angels,AL West,70,91,4,,1820521.0,22476.0,8th of 14,"$28,847,000",98,98,Anaheim Stadium
1995,California Angels,AL West,78,67,2,,1748680.0,24287.0,6th of 14,"$31,223,171",99,99,Anaheim Stadium
1994,California Angels,AL West,47,68,4,,1512622.0,24010.0,8th of 14,"$25,156,218",101,100,Anaheim Stadium
1993,California Angels,AL West,71,91,5,,2057460.0,25401.0,8th of 14,"$28,588,334",103,102,Anaheim Stadium
1992,California Angels,AL West,72,90,5,,2065444.0,25499.0,8th of 14,"$34,749,334",100,100,Anaheim Stadium
1991,California Angels,AL West,81,81,7,,2416236.0,29830.0,6th of 14,"$33,060,001",100,99,Anaheim Stadium
1990,California Angels,AL West,80,82,4,,2555688.0,31552.0,3rd of 14,"$22,417,500",97,97,Anaheim Stadium
1989,California Angels,AL West,91,71,3,,2647291.0,32683.0,3rd of 14,"$15,097,833",98,98,Anaheim Stadium
1988,California Angels,AL West,75,87,4,,2340925.0,28900.0,6th of 14,"$12,249,888",97,97,Anaheim Stadium
1987,California Angels,AL West,75,87,6,,2696299.0,33288.0,2nd of 14,"$13,855,999",97,97,Anaheim Stadium
1986,California Angels,AL West,92,70,1,Lost ALCS (4-3),2655872.0,32389.0,1st of 14,"$14,427,258",98,99,Anaheim Stadium
1985,California Angels,AL West,90,72,2,,2567427.0,32499.0,1st of 14,"$14,427,894",100,100,Anaheim Stadium
1984,California Angels,AL West,81,81,2,,2402997.0,29667.0,2nd of 14,,100,99,Anaheim Stadium
1983,California Angels,AL West,70,92,5,,2555016.0,31543.0,1st of 14,,99,99,Anaheim Stadium
1982,California Angels,AL West,93,69,1,Lost ALCS (3-2),2807360.0,34659.0,1st of 14,,99,100,Anaheim Stadium
1981,California Angels,AL West,51,59,5,,1441545.0,26695.0,2nd of 14,,99,99,Anaheim Stadium
1980,California Angels,AL West,65,95,6,,2297327.0,28362.0,2nd of 14,,97,97,Anaheim Stadium
1979,California Angels,AL West,88,74,1,Lost ALCS (3-1),2523575.0,31155.0,2nd of 14,,96,96,Anaheim Stadium
1978,California Angels,AL West,87,75,2,,1755386.0,21671.0,4th of 14,,96,96,Anaheim Stadium
1977,California Angels,AL West,74,88,5,,1432633.0,17687.0,6th of 14,,96,96,Anaheim Stadium
1976,California Angels,AL West,76,86,4,,1006774.0,12429.0,8th of 12,,94,93,Anaheim Stadium
1975,California Angels,AL West,72,89,6,,1058163.0,13064.0,8th of 12,,93,92,Anaheim Stadium
1974,California Angels,AL West,68,94,6,,917269.0,11324.0,10th of 12,,94,94,Anaheim Stadium
1973,California Angels,AL West,79,83,4,,1058206.0,13064.0,7th of 12,,92,91,Anaheim Stadium
1972,California Angels,AL West,75,80,5,,744190.0,9302.0,8th of 12,,95,94,Anaheim Stadium
1971,California Angels,AL West,76,86,4,,926373.0,11437.0,6th of 12,,93,92,Anaheim Stadium
