Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium
2023,Oakland Athletics,AL West,20,59,5,,368146.0,9688.0,15th of 15,"$51,230,000",95,93,Oakland Coliseum
2022,Oakland Athletics,AL West,60,102,5,,787902.0,9849.0,15th of 15,"$50,248,334",95,93,RingCentral Coliseum
2021,Oakland Athletics,AL West,86,76,3,,701430.0,8660.0,15th of 15,"$94,555,834",95,95,RingCentral Coliseum
2020,Oakland Athletics,AL West,36,24,1,Lost ALDS (3-1),,,11th of 15,"$85,683,333",94,96,Oakland-Alameda County Coliseum
2019,Oakland Athletics,AL West,97,65,2,Lost ALWC (1-0),1670734.0,20626.0,10th of 15,"$102,935,833",93,94,Oakland-Alameda County Coliseum
2018,Oakland Athletics,AL West,97,65,2,Lost ALWC (1-0),1573616.0,19427.0,13th of 15,"$69,883,333",97,97,Oakland-Alameda County Coliseum
2017,Oakland Athletics,AL West,75,87,5,,1475721.0,18219.0,14th of 15,"$51,560,000",95,95,Oakland-Alameda County Coliseum
2016,Oakland Athletics,AL West,69,93,5,,1521506.0,18784.0,14th of 15,"$54,969,067",97,96,Oakland-Alameda County Coliseum
2015,Oakland Athletics,AL West,68,94,5,,1768175.0,21829.0,12th of 15,"$64,016,001",97,97,O.co Coliseum
2014,Oakland Athletics,AL West,88,74,2,Lost ALWC (1-0),2003628.0,24736.0,10th of 15,"$89,160,900",97,98,O.co Coliseum
2013,Oakland Athletics,AL West,96,66,1,Lost ALDS (3-2),1809302.0,22337.0,9th of 15,"$69,440,000",97,98,O.co Coliseum
2012,Oakland Athletics,AL West,94,68,1,Lost ALDS (3-2),1679013.0,20729.0,12th of 14,"$61,202,500",95,95,O.co Coliseum
2011,Oakland Athletics,AL West,74,88,3,,1476791.0,18232.0,14th of 14,"$67,094,000",98,98,O.co Coliseum
2010,Oakland Athletics,AL West,81,81,2,,1418391.0,17511.0,13th of 14,"$57,904,900",99,99,Oakland-Alameda County Coliseum
2009,Oakland Athletics,AL West,75,87,4,,1408783.0,17392.0,14th of 14,"$65,945,000",98,98,Oakland-Alameda County Coliseum
2008,Oakland Athletics,AL West,75,86,3,,1665256.0,20559.0,13th of 14,"$47,967,126",94,94,"McAfee Coliseum, Tokyo Dome"
2007,Oakland Athletics,AL West,76,86,3,,1921844.0,23726.0,12th of 14,"$79,366,940",94,94,McAfee Coliseum
2006,Oakland Athletics,AL West,93,69,1,Lost ALCS (4-0),1976625.0,24403.0,12th of 14,"$64,843,079",97,97,McAfee Coliseum
