Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium
2023,Los Angeles Dodgers,NL West,43,33,3,,1827910.0,48103.0,1st of 15,"$198,971,667",101,103,Dodger Stadium
2022,Los Angeles Dodgers,NL West,111,51,1,Lost NLDS (3-1),3861408.0,47672.0,1st of 15,"$261,180,131",101,103,Dodger Stadium
2021,Los Angeles Dodgers,NL West,106,56,2,Lost NLCS (4-2),2804693.0,34626.0,1st of 15,"$248,108,334",100,103,Dodger Stadium
2020,Los Angeles Dodgers,NL West,43,17,1,Won WS (4-2),,,6th of 15,"$216,508,333",97,99,Dodger Stadium
2019,Los Angeles Dodgers,NL West,106,56,1,Lost NLDS (3-2),3974309.0,49066.0,1st of 15,"$193,553,333",94,97,Dodger Stadium
2018,Los Angeles Dodgers,NL West,92,71,1,Lost WS (4-1),3857500.0,47043.0,1st of 15,"$164,703,429",96,98,Dodger Stadium
2017,Los Angeles Dodgers,NL West,104,58,1,Lost WS (4-3),3765856.0,46492.0,1st of 15,"$201,466,263",95,96,Dodger Stadium
2016,Los Angeles Dodgers,NL West,91,71,1,Lost NLCS (4-2),3703312.0,45720.0,1st of 15,"$231,342,096",96,97,Dodger Stadium
2015,Los Angeles Dodgers,NL West,92,70,1,Lost NLDS (3-2),3764815.0,46479.0,1st of 15,"$265,140,429",94,95,Dodger Stadium
2014,Los Angeles Dodgers,NL West,94,68,1,Lost NLDS (3-1),3782337.0,46696.0,1st of 15,"$233,386,026",95,96,Dodger Stadium
2013,Los Angeles Dodgers,NL West,92,70,1,Lost NLCS (4-2),3743527.0,46216.0,1st of 15,"$254,161,000",95,96,Dodger Stadium
2012,Los Angeles Dodgers,NL West,86,76,2,,3324246.0,41040.0,3rd of 16,"$177,033,600",96,96,Dodger Stadium
2011,Los Angeles Dodgers,NL West,82,79,3,,2935139.0,36236.0,6th of 16,"$103,785,477",96,96,Dodger Stadium
2010,Los Angeles Dodgers,NL West,80,82,4,,3562320.0,43979.0,2nd of 16,"$95,358,016",96,96,Dodger Stadium
2009,Los Angeles Dodgers,NL West,95,67,1,Lost NLCS (4-1),3761655.0,46440.0,1st of 16,"$102,117,592",95,95,Dodger Stadium
2008,Los Angeles Dodgers,NL West,84,78,1,Lost NLCS (4-1),3730553.0,46056.0,2nd of 16,"$118,588,536",97,98,Dodger Stadium
2007,Los Angeles Dodgers,NL West,82,80,4,,3857036.0,47618.0,1st of 16,"$108,454,524",100,101,Dodger Stadium
2006,Los Angeles Dodgers,NL West,88,74,2,Lost NLDS (3-0),3758545.0,46402.0,1st of 16,"$98,447,187",100,101,Dodger Stadium
2005,Los Angeles Dodgers,NL West,71,91,4,,3603646.0,44489.0,1st of 16,"$83,039,000",97,98,Dodger Stadium
2004,Los Angeles Dodgers,NL West,93,69,1,Lost NLDS (3-1),3488283.0,43065.0,1st of 16,"$92,902,001",95,95,Dodger Stadium
2003,Los Angeles Dodgers,NL West,85,77,2,,3138626.0,38748.0,2nd of 16,"$105,872,620",94,94,Dodger Stadium
2002,Los Angeles Dodgers,NL West,92,70,3,,3131255.0,38657.0,3rd of 16,"$94,850,953",92,92,Dodger Stadium
2001,Los Angeles Dodgers,NL West,86,76,3,,3017143.0,37249.0,4th of 16,"$109,105,953",91,92,Dodger Stadium
2000,Los Angeles Dodgers,NL West,86,76,2,,2880242.0,35559.0,7th of 16,"$88,124,286",93,94,Dodger Stadium
1999,Los Angeles Dodgers,NL West,77,85,3,,3095346.0,38214.0,4th of 16,"$81,062,453",94,94,Dodger Stadium
1998,Los Angeles Dodgers,NL West,83,79,3,,3089222.0,38139.0,5th of 16,"$48,820,000",95,95,Dodger Stadium
1997,Los Angeles Dodgers,NL West,88,74,2,,3319504.0,40982.0,3rd of 14,"$45,380,304",92,93,Dodger Stadium
1996,Los Angeles Dodgers,NL West,90,72,2,Lost NLDS (3-0),3188454.0,39364.0,2nd of 14,"$35,355,000",92,93,Dodger Stadium
1995,Los Angeles Dodgers,NL West,78,66,1,Lost NLDS (3-0),2766251.0,38420.0,2nd of 14,"$39,273,201",90,91,Dodger Stadium
1994,Los Angeles Dodgers,NL West,58,56,1,,2279355.0,41443.0,3rd of 14,"$38,000,001",93,94,Dodger Stadium
1993,Los Angeles Dodgers,NL West,81,81,4,,3170393.0,39141.0,3rd of 14,"$39,440,999",94,94,Dodger Stadium
1992,Los Angeles Dodgers,NL West,63,99,6,,2473266.0,30534.0,2nd of 12,"$44,788,166",99,99,Dodger Stadium
1991,Los Angeles Dodgers,NL West,93,69,2,,3348170.0,41335.0,1st of 12,"$32,790,664",97,98,Dodger Stadium
1990,Los Angeles Dodgers,NL West,86,76,2,,3002396.0,37067.0,1st of 12,"$22,018,704",97,97,Dodger Stadium
1989,Los Angeles Dodgers,NL West,77,83,4,,2944653.0,36354.0,2nd of 12,"$21,071,562",98,99,Dodger Stadium
1988,Los Angeles Dodgers,NL West,94,67,1,Won WS (4-1),2980262.0,36793.0,2nd of 12,"$17,141,015",97,98,Dodger Stadium
1987,Los Angeles Dodgers,NL West,73,89,4,,2797409.0,34536.0,3rd of 12,"$14,474,737",98,98,Dodger Stadium
1986,Los Angeles Dodgers,NL West,73,89,5,,3023208.0,37324.0,1st of 12,"$15,213,776",93,93,Dodger Stadium
1985,Los Angeles Dodgers,NL West,95,67,1,Lost NLCS (4-2),3264593.0,40304.0,1st of 12,"$10,967,917",96,96,Dodger Stadium
1984,Los Angeles Dodgers,NL West,79,83,4,,3134824.0,38702.0,1st of 12,,98,98,Dodger Stadium
1983,Los Angeles Dodgers,NL West,91,71,1,Lost NLCS (3-1),3510313.0,43879.0,1st of 12,,99,99,Dodger Stadium
1982,Los Angeles Dodgers,NL West,88,74,2,,3608881.0,44554.0,1st of 12,,97,98,Dodger Stadium
1981,Los Angeles Dodgers,NL West,63,47,2,Won WS (4-2),2381292.0,42523.0,1st of 12,,96,97,Dodger Stadium
1980,Los Angeles Dodgers,NL West,92,71,2,,3249287.0,39625.0,1st of 12,,98,99,Dodger Stadium
1979,Los Angeles Dodgers,NL West,79,83,3,,2860954.0,35320.0,1st of 12,,97,99,Dodger Stadium
1978,Los Angeles Dodgers,NL West,95,67,1,Lost WS (4-2),3347845.0,41331.0,1st of 12,,98,99,Dodger Stadium
1977,Los Angeles Dodgers,NL West,98,64,1,Lost WS (4-2),2955087.0,36483.0,1st of 12,,98,99,Dodger Stadium
1976,Los Angeles Dodgers,NL West,92,70,2,,2386301.0,29461.0,3rd of 12,,96,98,Dodger Stadium
1975,Los Angeles Dodgers,NL West,88,74,2,,2539349.0,31350.0,1st of 12,,94,95,Dodger Stadium
1974,Los Angeles Dodgers,NL West,102,60,1,Lost WS (4-1),2632474.0,32500.0,1st of 12,,94,96,Dodger Stadium
1973,Los Angeles Dodgers,NL West,95,66,2,,2136192.0,26373.0,1st of 12,,95,96,Dodger Stadium
1972,Los Angeles Dodgers,NL West,85,70,2,,1860858.0,24811.0,2nd of 12,,97,98,Dodger Stadium
1971,Los Angeles Dodgers,NL West,89,73,2,,2064594.0,25489.0,2nd of 12,,93,94,Dodger Stadium
1970,Los Angeles Dodgers,NL West,87,74,2,,1697142.0,20952.0,3rd of 12,,94,95,Dodger Stadium
1969,Los Angeles Dodgers,NL West,85,77,4,,1784527.0,22031.0,2nd of 12,,92,93,Dodger Stadium
1968,Los Angeles Dodgers,NL,76,86,7,,1581093.0,19520.0,3rd of 10,,92,92,Dodger Stadium
1967,Los Angeles Dodgers,NL,73,89,8,,1664362.0,20548.0,2nd of 10,,91,91,Dodger Stadium
1966,Los Angeles Dodgers,NL,95,67,1,Lost WS (4-0),2617029.0,32309.0,1st of 10,,91,92,Dodger Stadium
1965,Los Angeles Dodgers,NL,97,65,1,Won WS (4-3),2553577.0,31526.0,1st of 10,,92,93,Dodger Stadium
1964,Los Angeles Dodgers,NL,80,82,6,,2228751.0,27515.0,1st of 10,,91,93,Dodger Stadium
1963,Los Angeles Dodgers,NL,99,63,1,Won WS (4-0),2538602.0,31341.0,1st of 10,,91,92,Dodger Stadium
1962,Los Angeles Dodgers,NL,102,63,2,,2755184.0,33195.0,1st of 10,,92,94,Dodger Stadium
1961,Los Angeles Dodgers,NL,89,65,2,,1804250.0,23432.0,1st of 8,,106,107,Los Angeles Memorial Coliseum
1960,Los Angeles Dodgers,NL,82,72,4,,2253887.0,29271.0,1st of 8,,105,106,Los Angeles Memorial Coliseum
1959,Los Angeles Dodgers,NL,88,68,1,Won WS (4-2),2071045.0,26552.0,1st of 8,,107,107,Los Angeles Memorial Coliseum
1958,Los Angeles Dodgers,NL,71,83,7,,1845556.0,23968.0,2nd of 8,,105,104,Los Angeles Memorial Coliseum
