Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium
2023,Washington Nationals,NL East,29,47,5,,861885.0,21547.0,11th of 15,"$98,376,067",96,94,Nationals Park
2022,Washington Nationals,NL East,55,107,5,,2026401.0,25017.0,11th of 15,"$125,051,666",96,94,Nationals Park
2021,Washington Nationals,NL East,65,97,5,,1465543.0,18093.0,12th of 15,"$172,370,147",96,95,Nationals Park
2020,Washington Nationals,NL East,26,34,5,,,,15th of 15,"$172,237,283",99,99,Nationals Park
2019,Washington Nationals,NL East,93,69,2,Won WS (4-3),2259781.0,27899.0,11th of 15,"$203,016,595",102,102,Nationals Park
2018,Washington Nationals,NL East,82,80,2,,2529604.0,31230.0,8th of 15,"$188,886,699",105,106,Nationals Park
2017,Washington Nationals,NL East,97,65,1,Lost NLDS (3-2),2524980.0,31173.0,7th of 15,"$175,587,301",103,104,Nationals Park
2016,Washington Nationals,NL East,95,67,1,Lost NLDS (3-2),2481938.0,30641.0,7th of 15,"$152,967,400",102,103,Nationals Park
2015,Washington Nationals,NL East,83,79,2,,2619843.0,32344.0,5th of 15,"$176,496,372",101,102,Nationals Park
2014,Washington Nationals,NL East,96,66,1,Lost NLDS (3-1),2579389.0,31844.0,7th of 15,"$137,235,080",102,104,Nationals Park
2013,Washington Nationals,NL East,86,76,2,,2652422.0,32746.0,6th of 15,"$112,493,250",101,103,Nationals Park
2012,Washington Nationals,NL East,98,64,1,Lost NLDS (3-2),2370794.0,29269.0,9th of 16,"$92,386,000",101,101,Nationals Park
2011,Washington Nationals,NL East,80,81,3,,1940478.0,24256.0,14th of 16,"$68,492,928",100,100,Nationals Park
2010,Washington Nationals,NL East,69,93,5,,1828066.0,22569.0,14th of 16,"$67,701,000",100,99,Nationals Park
2009,Washington Nationals,NL East,59,103,5,,1817226.0,22435.0,13th of 16,"$64,384,000",101,99,Nationals Park
2008,Washington Nationals,NL East,59,102,5,,2320400.0,29005.0,13th of 16,"$54,961,000",100,98,Nationals Park
2007,Washington Nationals,NL East,73,89,4,,1943812.0,23998.0,14th of 16,"$36,947,500",95,94,Robert F. Kennedy Stadium
2006,Washington Nationals,NL East,71,91,5,,2153056.0,26581.0,11th of 16,"$63,143,000",95,94,Robert F. Kennedy Stadium
2005,Washington Nationals,NL East,81,81,5,,2731993.0,33728.0,8th of 16,"$48,581,500",96,95,Robert F. Kennedy Stadium
2004,Montreal Expos,NL East,67,95,5,,749550.0,9369.0,16th of 16,"$41,197,500",105,104,"Stade Olympique, Estadio Hiram Bithorn"
2003,Montreal Expos,NL East,83,79,4,,1025639.0,12662.0,16th of 16,"$51,948,500",105,105,"Stade Olympique, Estadio Hiram Bithorn"
2002,Montreal Expos,NL East,83,79,2,,812045.0,10025.0,16th of 16,"$38,670,500",103,103,Stade Olympique
2001,Montreal Expos,NL East,68,94,5,,642745.0,7935.0,16th of 16,"$35,159,500",102,101,Stade Olympique
2000,Montreal Expos,NL East,67,95,4,,926272.0,11435.0,16th of 16,"$32,994,333",104,103,Stade Olympique
1999,Montreal Expos,NL East,68,94,4,,773277.0,9547.0,16th of 16,"$17,903,000",98,97,Stade Olympique
1998,Montreal Expos,NL East,65,97,4,,914909.0,11295.0,16th of 16,"$10,641,500",99,98,Stade Olympique
1997,Montreal Expos,NL East,78,84,4,,1497609.0,18489.0,13th of 14,"$19,295,500",99,99,Stade Olympique
1996,Montreal Expos,NL East,88,74,2,,1616709.0,19959.0,11th of 14,"$16,264,500",102,102,Stade Olympique
1995,Montreal Expos,NL East,66,78,5,,1309618.0,18189.0,10th of 14,"$12,473,000",103,103,Stade Olympique
1994,Montreal Expos,NL East,74,40,1,,1276250.0,24543.0,11th of 14,"$19,098,000",100,101,Stade Olympique
1993,Montreal Expos,NL East,94,68,2,,1641437.0,20265.0,13th of 14,"$18,899,333",103,104,Stade Olympique
1992,Montreal Expos,NL East,87,75,2,,1669127.0,20607.0,10th of 12,"$15,822,334",99,100,Stade Olympique
1991,Montreal Expos,NL East,71,90,6,,934742.0,13746.0,12th of 12,"$10,732,333",99,99,Stade Olympique
1990,Montreal Expos,NL East,85,77,3,,1373087.0,16952.0,10th of 12,"$17,334,888",96,96,Stade Olympique
1989,Montreal Expos,NL East,81,81,4,,1783533.0,22019.0,10th of 12,"$13,807,389",101,101,Stade Olympique
1988,Montreal Expos,NL East,81,81,3,,1478659.0,18255.0,11th of 12,"$10,046,833",104,104,Stade Olympique
1987,Montreal Expos,NL East,91,71,3,,1850324.0,22844.0,9th of 12,"$8,762,052",103,103,Stade Olympique
1986,Montreal Expos,NL East,78,83,4,,1128981.0,14112.0,11th of 12,"$11,103,600",100,100,Stade Olympique
1985,Montreal Expos,NL East,84,77,3,,1502494.0,18549.0,8th of 12,"$9,470,166",95,95,Stade Olympique
1984,Montreal Expos,NL East,78,83,5,,1606531.0,19834.0,8th of 12,,96,96,Stade Olympique
1983,Montreal Expos,NL East,82,80,3,,2320651.0,28650.0,3rd of 12,,98,99,Stade Olympique
1982,Montreal Expos,NL East,86,76,3,,2318292.0,28621.0,3rd of 12,,101,102,Stade Olympique
1981,Montreal Expos,NL East,60,48,2,Lost NLCS (3-2),1534564.0,27403.0,3rd of 12,,100,101,Stade Olympique
1980,Montreal Expos,NL East,90,72,2,,2208175.0,27602.0,4th of 12,,99,100,Stade Olympique
1979,Montreal Expos,NL East,95,65,2,,2102173.0,25953.0,4th of 12,,98,99,Stade Olympique
1978,Montreal Expos,NL East,76,86,4,,1427007.0,17838.0,7th of 12,,98,98,Stade Olympique
1977,Montreal Expos,NL East,75,87,5,,1433757.0,17701.0,6th of 12,,97,96,Stade Olympique
1976,Montreal Expos,NL East,55,107,6,,646704.0,8084.0,11th of 12,,106,105,Parc Jarry
1975,Montreal Expos,NL East,75,87,5,,908292.0,11213.0,9th of 12,,106,104,Parc Jarry
1974,Montreal Expos,NL East,79,82,4,,1019134.0,12739.0,9th of 12,,106,105,Parc Jarry
1973,Montreal Expos,NL East,79,83,4,,1246863.0,15393.0,9th of 12,,103,103,Parc Jarry
1972,Montreal Expos,NL East,70,86,5,,1142145.0,14643.0,9th of 12,,102,101,Parc Jarry
1971,Montreal Expos,NL East,71,90,5,,1290963.0,16137.0,8th of 12,,101,99,Parc Jarry
1970,Montreal Expos,NL East,73,89,6,,1424683.0,17809.0,6th of 12,,101,99,Parc Jarry
1969,Montreal Expos,NL East,52,110,6,,1212608.0,14970.0,7th of 12,,102,100,Parc Jarry
