Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium
2023,San Diego Padres,NL West,37,40,4,,1635354.0,39887.0,2nd of 15,"$234,100,139",93,93,Petco Park
2022,San Diego Padres,NL West,89,73,2,Lost NLCS (4-1),2987470.0,36882.0,4th of 15,"$173,600,824",93,93,Petco Park
2021,San Diego Padres,NL West,79,83,3,,2191950.0,27061.0,3rd of 15,"$151,984,286",92,92,Petco Park
2020,San Diego Padres,NL West,37,23,2,Lost NLDS (3-0),,,12th of 15,"$141,953,667",93,93,Petco Park
2019,San Diego Padres,NL West,70,92,5,,2396399.0,29585.0,10th of 15,"$90,260,767",95,94,Petco Park
2018,San Diego Padres,NL West,66,96,5,,2168536.0,26772.0,11th of 15,"$93,821,067",95,93,Petco Park
2017,San Diego Padres,NL West,71,91,4,,2138491.0,26401.0,10th of 15,"$49,248,767",97,95,Petco Park
2016,San Diego Padres,NL West,68,94,5,,2351422.0,29030.0,8th of 15,"$50,656,166",95,95,Petco Park
2015,San Diego Padres,NL West,74,88,4,,2459752.0,30367.0,10th of 15,"$125,203,700",95,95,Petco Park
2014,San Diego Padres,NL West,77,85,3,,2195373.0,27103.0,12th of 15,"$76,662,100",92,92,Petco Park
2013,San Diego Padres,NL West,76,86,3,,2166691.0,26749.0,12th of 15,"$65,988,600",91,91,Petco Park
2012,San Diego Padres,NL West,76,86,4,,2123721.0,26219.0,14th of 16,"$55,494,700",91,91,Petco Park
2011,San Diego Padres,NL West,71,91,5,,2143018.0,26457.0,11th of 16,"$45,869,140",93,93,Petco Park
2010,San Diego Padres,NL West,90,72,2,,2131774.0,26318.0,11th of 16,"$37,799,300",91,91,Petco Park
2009,San Diego Padres,NL West,75,87,4,,1919603.0,23699.0,12th of 16,"$50,954,200",90,90,Petco Park
2008,San Diego Padres,NL West,63,99,5,,2427535.0,29970.0,12th of 16,"$73,677,616",88,87,Petco Park
2007,San Diego Padres,NL West,89,74,3,,2790074.0,34445.0,9th of 16,"$58,110,567",90,90,Petco Park
2006,San Diego Padres,NL West,88,74,1,Lost NLDS (3-1),2659757.0,32837.0,8th of 16,"$69,896,141",90,91,Petco Park
2005,San Diego Padres,NL West,82,80,1,Lost NLDS (3-0),2869787.0,35429.0,5th of 16,"$63,290,833",91,91,Petco Park
2004,San Diego Padres,NL West,87,75,3,,3016752.0,37244.0,7th of 16,"$55,384,833",90,90,Petco Park
2003,San Diego Padres,NL West,64,98,5,,2030084.0,25063.0,12th of 16,"$45,210,000",92,91,Qualcomm Stadium
2002,San Diego Padres,NL West,66,96,5,,2220601.0,27415.0,10th of 16,"$41,425,000",91,90,Qualcomm Stadium
2001,San Diego Padres,NL West,79,83,4,,2378128.0,29360.0,12th of 16,"$39,182,833",91,91,Qualcomm Stadium
2000,San Diego Padres,NL West,76,86,5,,2352443.0,29043.0,11th of 16,"$55,021,000",92,92,Qualcomm Stadium
1999,San Diego Padres,NL West,74,88,4,,2523538.0,31155.0,9th of 16,"$49,768,179",92,92,"Estadio de Beisbol Monterrey, Qualcomm Stadium"
1998,San Diego Padres,NL West,98,64,1,Lost WS (4-0),2555874.0,31554.0,7th of 16,"$46,861,500",92,92,Qualcomm Stadium
1997,San Diego Padres,NL West,76,86,4,,2089333.0,25794.0,7th of 14,"$37,363,672",93,93,"Aloha Stadium, Qualcomm Stadium"
1996,San Diego Padres,NL West,91,71,1,Lost NLDS (3-0),2187886.0,27011.0,6th of 14,"$28,348,172",94,94,"Estadio de Beisbol Monterrey, Jack Murphy Stadium"
1995,San Diego Padres,NL West,70,74,3,,1041805.0,14470.0,13th of 14,"$26,382,334",97,97,Jack Murphy Stadium
1994,San Diego Padres,NL West,47,70,4,,953857.0,16734.0,14th of 14,"$14,916,333",98,97,Jack Murphy Stadium
1993,San Diego Padres,NL West,61,101,7,,1375432.0,16981.0,14th of 14,"$25,511,333",102,101,Jack Murphy Stadium
1992,San Diego Padres,NL West,82,80,3,,1721406.0,21252.0,9th of 12,"$26,854,167",102,102,Jack Murphy Stadium
1991,San Diego Padres,NL West,84,78,3,,1804289.0,22275.0,9th of 12,"$22,150,001",103,103,Jack Murphy Stadium
1990,San Diego Padres,NL West,75,87,4,,1856396.0,22918.0,9th of 12,"$17,788,334",101,101,Jack Murphy Stadium
1989,San Diego Padres,NL West,89,73,2,,2009031.0,24803.0,6th of 12,"$15,295,000",100,101,Jack Murphy Stadium
1988,San Diego Padres,NL West,83,78,3,,1506896.0,18604.0,10th of 12,"$10,723,502",99,99,Jack Murphy Stadium
1987,San Diego Padres,NL West,65,97,6,,1454061.0,17951.0,10th of 12,"$12,065,796",97,96,Jack Murphy Stadium
1986,San Diego Padres,NL West,74,88,4,,1805716.0,22293.0,6th of 12,"$11,380,693",98,98,Jack Murphy Stadium
1985,San Diego Padres,NL West,83,79,3,,2210352.0,27288.0,4th of 12,"$11,191,583",98,99,Jack Murphy Stadium
1984,San Diego Padres,NL West,92,70,1,Lost WS (4-1),1983904.0,24493.0,5th of 12,,100,100,Jack Murphy Stadium
1983,San Diego Padres,NL West,81,81,4,,1539815.0,18778.0,6th of 12,,97,97,Jack Murphy Stadium
1982,San Diego Padres,NL West,81,81,4,,1607516.0,19846.0,6th of 12,,96,96,Jack Murphy Stadium
