Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium
2023,New York Yankees,AL East,40,33,3,,1535507.0,39372.0,1st of 15,"$270,202,722",99,100,Yankee Stadium III
2022,New York Yankees,AL East,99,63,1,Lost ALCS (4-0),3136207.0,38719.0,1st of 15,"$238,950,714",99,100,Yankee Stadium III
2021,New York Yankees,AL East,92,70,2,Lost ALWC (1-0),1959854.0,24196.0,3rd of 15,"$209,799,047",99,100,Yankee Stadium III
2020,New York Yankees,AL East,33,27,2,Lost ALDS (3-2),,,10th of 15,"$218,635,714",96,97,Yankee Stadium III
2019,New York Yankees,AL East,103,59,1,Lost ALCS (4-2),3304404.0,40795.0,1st of 15,"$228,442,421",96,98,Yankee Stadium III
2018,New York Yankees,AL East,100,62,2,Lost ALDS (3-1),3482855.0,42998.0,1st of 15,"$160,643,032",98,100,Yankee Stadium III
2017,New York Yankees,AL East,91,71,2,Lost ALCS (4-3),3154938.0,38950.0,2nd of 15,"$182,424,700",103,104,Yankee Stadium III
2016,New York Yankees,AL East,84,78,4,,3063405.0,37820.0,2nd of 15,"$193,229,350",102,103,Yankee Stadium III
2015,New York Yankees,AL East,87,75,2,Lost ALWC (1-0),3193795.0,39430.0,1st of 15,"$214,051,957",101,101,Yankee Stadium III
2014,New York Yankees,AL East,84,78,2,,3401624.0,41995.0,1st of 15,"$258,118,959",100,100,Yankee Stadium III
2013,New York Yankees,AL East,85,77,3,,3279589.0,40489.0,1st of 15,"$246,534,750",100,100,Yankee Stadium III
2012,New York Yankees,AL East,95,67,1,Lost ALCS (4-0),3542406.0,43733.0,1st of 14,"$197,977,900",103,104,Yankee Stadium III
2011,New York Yankees,AL East,97,65,1,Lost ALDS (3-2),3653680.0,45107.0,1st of 14,"$206,275,028",105,106,Yankee Stadium III
2010,New York Yankees,AL East,95,67,2,Lost ALCS (4-2),3765807.0,46491.0,1st of 14,"$210,733,389",104,106,Yankee Stadium III
2009,New York Yankees,AL East,103,59,1,Won WS (4-2),3719358.0,45918.0,1st of 14,"$210,330,039",103,105,Yankee Stadium III
2008,New York Yankees,AL East,89,73,3,,4298655.0,53070.0,1st of 14,"$212,286,789",101,103,Yankee Stadium II
2007,New York Yankees,AL East,94,68,2,Lost ALDS (3-1),4271083.0,52729.0,1st of 14,"$207,039,045",100,101,Yankee Stadium II
2006,New York Yankees,AL East,97,65,1,Lost ALDS (3-1),4248067.0,52445.0,1st of 14,"$194,663,079",99,101,Yankee Stadium II
2005,New York Yankees,AL East,95,67,1,Lost ALDS (3-2),4090696.0,50502.0,1st of 14,"$208,306,817",97,98,Yankee Stadium II
2004,New York Yankees,AL East,101,61,1,Lost ALCS (4-3),3775292.0,46609.0,1st of 14,"$184,193,950",97,98,Yankee Stadium II
2003,New York Yankees,AL East,101,61,1,Lost WS (4-2),3465600.0,42263.0,1st of 14,"$152,749,814",97,98,Yankee Stadium II
2002,New York Yankees,AL East,103,58,1,Lost ALDS (3-1),3465807.0,43323.0,2nd of 14,"$125,928,583",99,100,Yankee Stadium II
2001,New York Yankees,AL East,95,65,1,Lost WS (4-3),3264907.0,40811.0,2nd of 14,"$112,787,143",100,101,Yankee Stadium II
2000,New York Yankees,AL East,87,74,1,Won WS (4-1),3055435.0,38193.0,3rd of 14,"$93,113,260",98,99,Yankee Stadium II
1999,New York Yankees,AL East,98,64,1,Won WS (4-0),3292736.0,40651.0,3rd of 14,"$86,934,359",96,98,Yankee Stadium II
1998,New York Yankees,AL East,114,48,1,Won WS (4-0),2955193.0,36484.0,3rd of 14,"$66,806,867",95,97,"Yankee Stadium II, Shea Stadium"
1997,New York Yankees,AL East,96,66,2,Lost ALDS (3-2),2580325.0,32254.0,6th of 14,"$62,241,545",98,100,Yankee Stadium II
1996,New York Yankees,AL East,92,70,1,Won WS (4-2),2250877.0,28136.0,7th of 14,"$54,191,792",100,101,Yankee Stadium II
1995,New York Yankees,AL East,79,65,2,Lost ALDS (3-2),1705263.0,23360.0,7th of 14,"$48,874,851",98,99,Yankee Stadium II
