Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium
2023,Oakland Athletics,AL West,14,50,5,,"268,926","8,675",15th of 15,"$51,230,000",95,93,RingCentral Coliseum
2022,Oakland Athletics,AL West,60,102,5,,"787,902","9,849",15th of 15,"$50,248,334",95,94,RingCentral Coliseum
2021,Oakland Athletics,AL West,86,76,3,,"701,430","8,660",15th of 15,"$94,555,834",95,95,RingCentral Coliseum
2020,Oakland Athletics,AL West,36,24,1,Lost ALDS (3-1),,,11th of 15,"$85,683,333",94,96,Oakland-Alameda County Coliseum
2019,Oakland Athletics,AL West,97,65,2,Lost ALWC (1-0),"1,670,734","20,626",10th of 15,"$102,935,833",93,94,Oakland-Alameda County Coliseum
2018,Oakland Athletics,AL West,97,65,2,Lost ALWC (1-0),"1,573,616","19,427",13th of 15,"$69,883,333",97,97,Oakland-Alameda County Coliseum
2017,Oakland Athletics,AL West,75,87,5,,"1,475,721","18,219",14th of 15,"$51,560,000",95,95,Oakland-Alameda County Coliseum
2016,Oakland Athletics,AL West,69,93,5,,"1,521,506","18,784",14th of 15,"$54,969,067",97,96,Oakland-Alameda County Coliseum
2015,Oakland Athletics,AL West,68,94,5,,"1,768,175","21,829",12th of 15,"$64,016,001",97,97,O.co Coliseum
2014,Oakland Athletics,AL West,88,74,2,Lost ALWC (1-0),"2,003,628","24,736",10th of 15,"$89,160,900",97,98,O.co Coliseum
2013,Oakland Athletics,AL West,96,66,1,Lost ALDS (3-2),"1,809,302","22,337",9th of 15,"$69,440,000",97,98,O.co Coliseum
2012,Oakland Athletics,AL West,94,68,1,Lost ALDS (3-2),"1,679,013","20,729",12th of 14,"$61,202,500",95,95,O.co Coliseum
2011,Oakland Athletics,AL West,74,88,3,,"1,476,791","18,232",14th of 14,"$67,094,000",98,98,O.co Coliseum
2010,Oakland Athletics,AL West,81,81,2,,"1,418,391","17,511",13th of 14,"$57,904,900",99,99,Oakland-Alameda County Coliseum
2009,Oakland Athletics,AL West,75,87,4,,"1,408,783","17,392",14th of 14,"$65,945,000",98,98,Oakland-Alameda County Coliseum
2008,Oakland Athletics,AL West,75,86,3,,"1,665,256","20,559",13th of 14,"$47,967,126",94,94,"McAfee Coliseum, Tokyo Dome"
2007,Oakland Athletics,AL West,76,86,3,,"1,921,844","23,726",12th of 14,"$79,366,940",94,94,McAfee Coliseum
2006,Oakland Athletics,AL West,93,69,1,Lost ALCS (4-0),"1,976,625","24,403",12th of 14,"$64,843,079",97,97,McAfee Coliseum
2005,Oakland Athletics,AL West,88,74,2,,"2,109,118","26,038",8th of 14,"$55,425,762",100,100,McAfee Coliseum
2004,Oakland Athletics,AL West,91,71,2,,"2,201,516","27,179",7th of 14,"$59,425,667",98,99,Network Associates Coliseum
2003,Oakland Athletics,AL West,96,66,1,Lost ALDS (3-2),"2,216,596","27,365",6th of 14,"$50,260,834",98,99,Network Associates Coliseum
2002,Oakland Athletics,AL West,103,59,1,Lost ALDS (3-2),"2,169,811","26,788",8th of 14,"$40,004,167",97,98,Network Associates Coliseum
2001,Oakland Athletics,AL West,102,60,2,Lost ALDS (3-2),"2,133,277","26,337",7th of 14,"$33,810,750",97,98,Network Associates Coliseum
2000,Oakland Athletics,AL West,91,70,1,Lost ALDS (3-2),"1,603,744","19,799",11th of 14,"$33,172,333",95,96,Network Associates Coliseum
1999,Oakland Athletics,AL West,87,75,2,,"1,434,610","17,711",12th of 14,"$24,831,833",94,94,Network Associates Coliseum
1998,Oakland Athletics,AL West,74,88,4,,"1,232,343","15,214",13th of 14,"$21,473,000",97,96,Network Associates Coliseum
1997,Oakland Athletics,AL West,65,97,4,,"1,264,218","15,608",14th of 14,"$24,018,500",97,96,Oakland-Alameda County Coliseum
1996,Oakland Athletics,AL West,78,84,3,,"1,148,380","14,178",14th of 14,"$21,243,000",102,101,"Cashman Field, Oakland-Alameda County Coliseum"
1995,Oakland Athletics,AL West,67,77,4,,"1,174,310","16,310",12th of 14,"$37,739,225",91,91,Oakland-Alameda County Coliseum
1994,Oakland Athletics,AL West,51,63,2,,"1,242,692","22,191",12th of 14,"$34,172,500",92,91,Oakland-Alameda County Coliseum
1993,Oakland Athletics,AL West,68,94,7,,"2,035,025","25,124",11th of 14,"$37,812,333",94,94,Oakland-Alameda County Coliseum
1992,Oakland Athletics,AL West,96,66,1,Lost ALCS (4-2),"2,494,160","30,792",4th of 14,"$41,035,000",94,94,Oakland-Alameda County Coliseum
1991,Oakland Athletics,AL West,84,78,4,,"2,713,493","33,500",3rd of 14,"$36,999,167",93,94,Oakland-Alameda County Coliseum
1990,Oakland Athletics,AL West,103,59,1,Lost WS (4-0),"2,900,217","35,805",2nd of 14,"$20,087,501",94,95,Oakland-Alameda County Coliseum
1989,Oakland Athletics,AL West,99,63,1,Won WS (4-0),"2,667,225","32,929",2nd of 14,"$16,314,265",95,97,Oakland-Alameda County Coliseum
1988,Oakland Athletics,AL West,104,58,1,Lost WS (4-1),"2,287,335","28,239",7th of 14,"$10,653,833",96,97,Oakland-Alameda County Coliseum
1987,Oakland Athletics,AL West,81,81,3,,"1,678,921","20,727",11th of 14,"$12,730,839",93,93,Oakland-Alameda County Coliseum
1986,Oakland Athletics,AL West,76,86,3,,"1,314,646","15,839",11th of 14,"$9,779,421",92,92,Oakland-Alameda County Coliseum
1985,Oakland Athletics,AL West,77,85,4,,"1,334,599","16,894",11th of 14,"$9,058,606",92,92,Oakland-Alameda County Coliseum
1984,Oakland Athletics,AL West,77,85,4,,"1,353,281","16,707",11th of 14,,93,92,Oakland-Alameda County Coliseum
1983,Oakland Athletics,AL West,74,88,4,,"1,294,941","15,987",11th of 14,,94,93,Oakland-Alameda County Coliseum
1982,Oakland Athletics,AL West,68,94,5,,"1,735,489","21,426",6th of 14,,94,94,Oakland-Alameda County Coliseum
