Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium
2023,New York Yankees,AL East,36,26,3,,"1,313,512","39,803",1st of 15,"$270,202,722",100,101,Yankee Stadium III
2022,New York Yankees,AL East,99,63,1,Lost ALCS (4-0),"3,136,207","38,719",1st of 15,"$238,950,714",100,101,Yankee Stadium III
2021,New York Yankees,AL East,92,70,2,Lost ALWC (1-0),"1,959,854","24,196",3rd of 15,"$209,799,047",99,100,Yankee Stadium III
2020,New York Yankees,AL East,33,27,2,Lost ALDS (3-2),,,10th of 15,"$218,635,714",96,97,Yankee Stadium III
2019,New York Yankees,AL East,103,59,1,Lost ALCS (4-2),"3,304,404","40,795",1st of 15,"$228,442,421",96,98,Yankee Stadium III
2018,New York Yankees,AL East,100,62,2,Lost ALDS (3-1),"3,482,855","42,998",1st of 15,"$160,643,032",98,100,Yankee Stadium III
2017,New York Yankees,AL East,91,71,2,Lost ALCS (4-3),"3,154,938","38,950",2nd of 15,"$182,424,700",103,104,Yankee Stadium III
2016,New York Yankees,AL East,84,78,4,,"3,063,405","37,820",2nd of 15,"$193,229,350",102,103,Yankee Stadium III
2015,New York Yankees,AL East,87,75,2,Lost ALWC (1-0),"3,193,795","39,430",1st of 15,"$214,051,957",101,101,Yankee Stadium III
2014,New York Yankees,AL East,84,78,2,,"3,401,624","41,995",1st of 15,"$258,118,959",100,100,Yankee Stadium III
2013,New York Yankees,AL East,85,77,3,,"3,279,589","40,489",1st of 15,"$246,534,750",100,100,Yankee Stadium III
2012,New York Yankees,AL East,95,67,1,Lost ALCS (4-0),"3,542,406","43,733",1st of 14,"$197,977,900",103,104,Yankee Stadium III
2011,New York Yankees,AL East,97,65,1,Lost ALDS (3-2),"3,653,680","45,107",1st of 14,"$206,275,028",105,106,Yankee Stadium III
2010,New York Yankees,AL East,95,67,2,Lost ALCS (4-2),"3,765,807","46,491",1st of 14,"$210,733,389",104,106,Yankee Stadium III
2009,New York Yankees,AL East,103,59,1,Won WS (4-2),"3,719,358","45,918",1st of 14,"$210,330,039",103,105,Yankee Stadium III
2008,New York Yankees,AL East,89,73,3,,"4,298,655","53,070",1st of 14,"$212,286,789",101,103,Yankee Stadium II
2007,New York Yankees,AL East,94,68,2,Lost ALDS (3-1),"4,271,083","52,729",1st of 14,"$207,039,045",100,101,Yankee Stadium II
2006,New York Yankees,AL East,97,65,1,Lost ALDS (3-1),"4,248,067","52,445",1st of 14,"$194,663,079",99,101,Yankee Stadium II
2005,New York Yankees,AL East,95,67,1,Lost ALDS (3-2),"4,090,696","50,502",1st of 14,"$208,306,817",97,98,Yankee Stadium II
2004,New York Yankees,AL East,101,61,1,Lost ALCS (4-3),"3,775,292","46,609",1st of 14,"$184,193,950",97,98,Yankee Stadium II
2003,New York Yankees,AL East,101,61,1,Lost WS (4-2),"3,465,600","42,263",1st of 14,"$152,749,814",97,98,Yankee Stadium II
2002,New York Yankees,AL East,103,58,1,Lost ALDS (3-1),"3,465,807","43,323",2nd of 14,"$125,928,583",99,100,Yankee Stadium II
2001,New York Yankees,AL East,95,65,1,Lost WS (4-3),"3,264,907","40,811",2nd of 14,"$112,787,143",100,101,Yankee Stadium II
2000,New York Yankees,AL East,87,74,1,Won WS (4-1),"3,055,435","38,193",3rd of 14,"$93,113,260",98,99,Yankee Stadium II
1999,New York Yankees,AL East,98,64,1,Won WS (4-0),"3,292,736","40,651",3rd of 14,"$86,934,359",96,98,Yankee Stadium II
1998,New York Yankees,AL East,114,48,1,Won WS (4-0),"2,955,193","36,484",3rd of 14,"$66,806,867",95,97,"Yankee Stadium II, Shea Stadium"
1997,New York Yankees,AL East,96,66,2,Lost ALDS (3-2),"2,580,325","32,254",6th of 14,"$62,241,545",98,100,Yankee Stadium II
1996,New York Yankees,AL East,92,70,1,Won WS (4-2),"2,250,877","28,136",7th of 14,"$54,191,792",100,101,Yankee Stadium II
1995,New York Yankees,AL East,79,65,2,Lost ALDS (3-2),"1,705,263","23,360",7th of 14,"$48,874,851",98,99,Yankee Stadium II
1994,New York Yankees,AL East,70,43,1,,"1,675,556","29,396",7th of 14,"$46,040,334",95,96,Yankee Stadium II
1993,New York Yankees,AL East,88,74,2,,"2,416,942","29,839",5th of 14,"$42,723,000",96,97,Yankee Stadium II
1992,New York Yankees,AL East,76,86,4,,"1,748,737","21,589",11th of 14,"$37,652,334",99,99,Yankee Stadium II
1991,New York Yankees,AL East,71,91,5,,"1,863,733","23,009",11th of 14,"$27,344,168",101,100,Yankee Stadium II
1990,New York Yankees,AL East,67,95,7,,"2,006,436","24,771",8th of 14,"$21,312,318",101,100,Yankee Stadium II
1989,New York Yankees,AL East,74,87,5,,"2,170,485","26,796",8th of 14,"$17,114,375",100,99,Yankee Stadium II
1988,New York Yankees,AL East,85,76,5,,"2,633,701","32,921",2nd of 14,"$20,371,152",99,99,Yankee Stadium II
1987,New York Yankees,AL East,89,73,4,,"2,427,672","29,971",3rd of 14,"$19,457,714",99,99,Yankee Stadium II
1986,New York Yankees,AL East,90,72,2,,"2,268,030","28,350",4th of 14,"$18,494,253",98,99,Yankee Stadium II
1985,New York Yankees,AL East,97,64,2,,"2,214,587","27,682",4th of 14,"$14,238,204",97,98,Yankee Stadium II
1984,New York Yankees,AL East,87,75,3,,"1,821,815","22,492",6th of 14,,95,96,Yankee Stadium II
1983,New York Yankees,AL East,91,71,3,,"2,257,976","27,876",3rd of 14,,95,96,Yankee Stadium II
1982,New York Yankees,AL East,79,83,5,,"2,041,219","25,200",3rd of 14,,97,98,Yankee Stadium II
